Passenger_ID,Survived,Class,Name,Gender,Age (Years),Siblings_Spouse_On_Board,Parents_Childern_On_Board,Ticket,Fare (GBP),Cabin,Embarked
1,No,Third,"Braund, Mr. Owen Harris",Male,22,1,0,A/5 21171,7.25,,Southampton
2,Yes,First,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",Female,38,1,0,PC 17599,71.2833,C85,Cherbourg
3,Yes,Third,"Heikkinen, Miss. Laina",Female,26,0,0,STON/O2. 3101282,7.925,,Southampton
4,Yes,First,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",Female,35,1,0,113803,53.1,C123,Southampton
5,No,Third,"Allen, Mr. William Henry",Male,35,0,0,373450,8.05,,Southampton
6,No,Third,"Moran, Mr. James",Male,,0,0,330877,8.4583,,Queenstown
7,No,First,"McCarthy, Mr. Timothy J",Male,54,0,0,17463,51.8625,E46,Southampton
8,No,Third,"Palsson, Master. Gosta Leonard",Male,2,3,1,349909,21.075,,Southampton
9,Yes,Third,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",Female,27,0,2,347742,11.1333,,Southampton
10,Yes,Second,"Nasser, Mrs. Nicholas (Adele Achem)",Female,14,1,0,237736,30.0708,,Cherbourg
11,Yes,Third,"Sandstrom, Miss. Marguerite Rut",Female,4,1,1,PP 9549,16.7,G6,Southampton
12,Yes,First,"Bonnell, Miss. Elizabeth",Female,58,0,0,113783,26.55,C103,Southampton
13,No,Third,"Saundercock, Mr. William Henry",Male,20,0,0,A/5. 2151,8.05,,Southampton
14,No,Third,"Andersson, Mr. Anders Johan",Male,39,1,5,347082,31.275,,Southampton
15,No,Third,"Vestrom, Miss. Hulda Amanda Adolfina",Female,14,0,0,350406,7.8542,,Southampton
16,Yes,Second,"Hewlett, Mrs. (Mary D Kingcome) ",Female,55,0,0,248706,16,,Southampton
17,No,Third,"Rice, Master. Eugene",Male,2,4,1,382652,29.125,,Queenstown
18,Yes,Second,"Williams, Mr. Charles Eugene",Male,,0,0,244373,13,,Southampton
19,No,Third,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",Female,31,1,0,345763,18,,Southampton
20,Yes,Third,"Masselmani, Mrs. Fatima",Female,,0,0,2649,7.225,,Cherbourg
21,No,Second,"Fynney, Mr. Joseph J",Male,35,0,0,239865,26,,Southampton
22,Yes,Second,"Beesley, Mr. Lawrence",Male,34,0,0,248698,13,D56,Southampton
23,Yes,Third,"McGowan, Miss. Anna ""Annie""",Female,15,0,0,330923,8.0292,,Queenstown
24,Yes,First,"Sloper, Mr. William Thompson",Male,28,0,0,113788,35.5,A6,Southampton
25,No,Third,"Palsson, Miss. Torborg Danira",Female,8,3,1,349909,21.075,,Southampton
26,Yes,Third,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",Female,38,1,5,347077,31.3875,,Southampton
27,No,Third,"Emir, Mr. Farred Chehab",Male,,0,0,2631,7.225,,Cherbourg
28,No,First,"Fortune, Mr. Charles Alexander",Male,19,3,2,19950,263,C23 C25 C27,Southampton
29,Yes,Third,"O'Dwyer, Miss. Ellen ""Nellie""",Female,,0,0,330959,7.8792,,Queenstown
30,No,Third,"Todoroff, Mr. Lalio",Male,,0,0,349216,7.8958,,Southampton
31,No,First,"Uruchurtu, Don. Manuel E",Male,40,0,0,PC 17601,27.7208,,Cherbourg
32,Yes,First,"Spencer, Mrs. William Augustus (Marie Eugenie)",Female,,1,0,PC 17569,146.5208,B78,Cherbourg
33,Yes,Third,"Glynn, Miss. Mary Agatha",Female,,0,0,335677,7.75,,Queenstown
34,No,Second,"Wheadon, Mr. Edward H",Male,66,0,0,C.A. 24579,10.5,,Southampton
35,No,First,"Meyer, Mr. Edgar Joseph",Male,28,1,0,PC 17604,82.1708,,Cherbourg
36,No,First,"Holverson, Mr. Alexander Oskar",Male,42,1,0,113789,52,,Southampton
37,Yes,Third,"Mamee, Mr. Hanna",Male,,0,0,2677,7.2292,,Cherbourg
38,No,Third,"Cann, Mr. Ernest Charles",Male,21,0,0,A./5. 2152,8.05,,Southampton
39,No,Third,"Vander Planke, Miss. Augusta Maria",Female,18,2,0,345764,18,,Southampton
40,Yes,Third,"Nicola-Yarred, Miss. Jamila",Female,14,1,0,2651,11.2417,,Cherbourg
41,No,Third,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",Female,40,1,0,7546,9.475,,Southampton
42,No,Second,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",Female,27,1,0,11668,21,,Southampton
43,No,Third,"Kraeff, Mr. Theodor",Male,,0,0,349253,7.8958,,Cherbourg
44,Yes,Second,"Laroche, Miss. Simonne Marie Anne Andree",Female,3,1,2,SC/Paris 2123,41.5792,,Cherbourg
45,Yes,Third,"Devaney, Miss. Margaret Delia",Female,19,0,0,330958,7.8792,,Queenstown
46,No,Third,"Rogers, Mr. William John",Male,,0,0,S.C./A.4. 23567,8.05,,Southampton
47,No,Third,"Lennon, Mr. Denis",Male,,1,0,370371,15.5,,Queenstown
48,Yes,Third,"O'Driscoll, Miss. Bridget",Female,,0,0,14311,7.75,,Queenstown
49,No,Third,"Samaan, Mr. Youssef",Male,,2,0,2662,21.6792,,Cherbourg
50,No,Third,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",Female,18,1,0,349237,17.8,,Southampton
51,No,Third,"Panula, Master. Juha Niilo",Male,7,4,1,3101295,39.6875,,Southampton
52,No,Third,"Nosworthy, Mr. Richard Cater",Male,21,0,0,A/4. 39886,7.8,,Southampton
53,Yes,First,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",Female,49,1,0,PC 17572,76.7292,D33,Cherbourg
54,Yes,Second,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",Female,29,1,0,2926,26,,Southampton
